"var.diff.cumulative.coauthors.2.years","var.diff.cumulative.coauthors.4.years","mean.diff.articles","mean.diff.cumulative.coauthors","var.diff.cumulative.coauthors.5.years","var.diff.articles.5.years","var.diff.2.cumulative.coauthors.5.years.up","entropy.opposite","mean.author.minus.venue.context.zscore","var.diff.2.cumulative.coauthors.4.years.up","var.diff.2.articles.5.years.up","var.diff.2.articles.2.years.up","var.diff.2.articles.4.years.up","var.diff.2.articles.3.years.up","var.diff.2.cumulative.coauthors.3.years.up","Node"
887,1221,2701,2450,2471,1120,4225,1685,4225,4225,2381,911,2952,1777,966,"261"
689,533,3216,1956,1013,3169,4225,1784,4225,4225,924,3161,1922,2450,258,"262"
564,587,2701,3702,559,2873,4225,2556,4225,4225,4225,1473,4225,779,232,"263"
2744,2705,2618,3850,3310,262,4225,176,869,4225,220,492,308,380,4225,"264"
329,194,3514,3908,333,2620,4225,2302,4225,4225,1511,1714,1058,1104,160,"265"
2111,1165,2949,3637,1356,2033,4225,2673,4225,4225,4225,3211,4225,4225,4225,"266"
1156,745,3927,729,689,3017,4225,3407,4225,4225,4225,2830,800,1280,4225,"267"
2742,3816,3724,1834,2471,2749,4225,1718,4225,4225,1511,4016,1806,3663,834,"268"
2485,2705,3819,2758,2471,1120,1135,2227,4225,4225,1665,2547,2820,2287,2754,"269"
192,809,94,150,391,101,385,944,193,4225,1356,31,392,2689,200,"270"
734,745,3298,3637,623,1926,4225,761,4225,4225,2069,3053,2046,3341,4225,"271"
27,20,1554,923,18,362,4225,3736,4225,4225,4225,32,4225,4225,4225,"272"
629,483,2646,4016,495,3454,4225,2012,4225,4225,537,1555,4225,1280,4225,"273"
879,1221,2391,3169,4225,4225,4225,82,1199,4225,4225,1157,4225,2431,4225,"274"
2445,2931,2794,3637,1633,2033,4225,3819,4225,4225,4225,1416,4225,531,4225,"275"
1238,554,1608,1655,1456,2873,4225,113,1184,4225,410,1363,477,1020,413,"276"
